Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 21 2023,SPX230421C03950000,0,0,615.7,620.9,0,0.2762,0.6793,0.0003,0,3950.00,SPX230421P03950000,252.03,27.63,266.6,270.5,20,0.2502,-0.3237,0.0003,1125
Fri Apr 21 2023,SPX230421C03975000,670.6,-21.7,599.2,603.2,2,0.2739,0.6711,0.0003,7,3975.00,SPX230421P03975000,222.09,0,274,278,0,0.2481,-0.3318,0.0003,66
Fri Apr 21 2023,SPX230421C04000000,693.22,0,582.1,587.2,0,0.2717,0.6628,0.0003,32,4000.00,SPX230421P04000000,225.65,0,281.5,285.5,0,0.246,-0.3402,0.0003,1897
Fri Apr 21 2023,SPX230421C04025000,638.83,0,565.5,570.5,0,0.2695,0.6543,0.0003,1,4025.00,SPX230421P04025000,234.61,0,289.3,293.3,0,0.2439,-0.3486,0.0003,1
Fri Apr 21 2023,SPX230421C04050000,687.49,0,548.9,553.9,0,0.2674,0.6457,0.0004,1,4050.00,SPX230421P04050000,232.8,0,297.1,301.2,0,0.2416,-0.3572,0.0004,107
Fri Apr 21 2023,SPX230421C04075000,656.45,0,532.6,537.6,0,0.2652,0.6369,0.0004,1,4075.00,SPX230421P04075000,285.83,28.33,305.2,309.3,6,0.2394,-0.366,0.0004,0
Fri Apr 21 2023,SPX230421C04100000,0,0,516.5,521.4,0,0.263,0.628,0.0004,0,4100.00,SPX230421P04100000,302.2,37.6,313.4,317.6,1,0.2373,-0.3749,0.0004,186
Fri Apr 21 2023,SPX230421C04125000,0,0,500.7,505.5,0,0.2608,0.619,0.0004,0,4125.00,SPX230421P04125000,307.38,35.53,321.8,326,2,0.235,-0.384,0.0004,2
Fri Apr 21 2023,SPX230421C04150000,638.46,0,484.7,489.6,0,0.2586,0.6098,0.0004,0,4150.00,SPX230421P04150000,267.17,0,330.4,334.6,0,0.2328,-0.3932,0.0004,1
Fri Apr 21 2023,SPX230421C04175000,601.5,0,469.1,473.9,0,0.2564,0.6004,0.0004,1,4175.00,SPX230421P04175000,0,0,339.1,343.3,0,0.2306,-0.4025,0.0004,0
Fri Apr 21 2023,SPX230421C04200000,577.07,0,453.8,458.5,0,0.2541,0.5909,0.0004,81,4200.00,SPX230421P04200000,279.8,0,347.9,352.2,0,0.2283,-0.412,0.0004,206
Fri Apr 21 2023,SPX230421C04225000,585.94,0,438.5,443.2,0,0.2519,0.5812,0.0004,3,4225.00,SPX230421P04225000,283.55,0,357,361.4,0,0.2259,-0.4217,0.0004,4
Fri Apr 21 2023,SPX230421C04250000,557.2,0,423.2,427.9,0,0.2496,0.5714,0.0004,13,4250.00,SPX230421P04250000,306,0,366.2,370.6,0,0.2236,-0.4315,0.0004,6
Fri Apr 21 2023,SPX230421C04275000,625.97,0,408.3,413,0,0.2473,0.5614,0.0004,1,4275.00,SPX230421P04275000,321.57,0,375.6,380.1,0,0.2212,-0.4415,0.0004,86
Fri Apr 21 2023,SPX230421C04300000,414.33,-56.42,393.6,398.2,20,0.2451,0.5513,0.0004,88,4300.00,SPX230421P04300000,370.08,43.33,385.2,389.7,121,0.2189,-0.4516,0.0004,180
Fri Apr 21 2023,SPX230421C04325000,444,0,379,383.6,0,0.2428,0.541,0.0004,248,4325.00,SPX230421P04325000,315.51,0,395,399.5,0,0.2164,-0.462,0.0004,1
Fri Apr 21 2023,SPX230421C04350000,457.97,0,364.6,369.2,0,0.2404,0.5305,0.0004,10,4350.00,SPX230421P04350000,326,0,404.9,409.6,0,0.214,-0.4724,0.0004,51
Fri Apr 21 2023,SPX230421C04375000,380.89,-42.71,350.5,354.9,20,0.2382,0.5199,0.0004,1125,4375.00,SPX230421P04375000,366.56,13.76,415,419.7,76,0.2115,-0.483,0.0004,0
Fri Apr 21 2023,SPX230421C04400000,355.8,-52.4,336.8,340.2,223,0.2356,0.5091,0.0004,304,4400.00,SPX230421P04400000,408.3,46.55,425.7,429.4,13,0.2088,-0.4938,0.0004,263
Fri Apr 21 2023,SPX230421C04425000,404.7,0,322.6,327.1,0,0.2334,0.4982,0.0004,2908,4425.00,SPX230421P04425000,383.29,0,435.9,440.8,0,0.2064,-0.5048,0.0004,96
Fri Apr 21 2023,SPX230421C04450000,354.24,-23.71,309,313.4,2,0.2309,0.4871,0.0004,1876,4450.00,SPX230421P04450000,429.28,48.98,446.6,451.5,1,0.2036,-0.5159,0.0004,676
Fri Apr 21 2023,SPX230421C04475000,397.5,0,295.5,300,0,0.2285,0.4758,0.0004,1055,4475.00,SPX230421P04475000,372.01,0,457.5,462.5,0,0.201,-0.5271,0.0004,13
Fri Apr 21 2023,SPX230421C04500000,321.3,-27.2,282.3,286.7,171,0.2261,0.4644,0.0004,830,4500.00,SPX230421P04500000,364,0,468.6,473.7,0,0.1982,-0.5386,0.0004,142
Fri Apr 21 2023,SPX230421C04525000,381.65,0,269.3,273.7,0,0.2236,0.4528,0.0004,6,4525.00,SPX230421P04525000,400.52,0,479.9,485.1,0,0.1954,-0.5501,0.0004,7
